X,frankfurt_urban_n_vehicles_multi_radio.MA[5].idLayer/sequenceUpdateCa:vector
52.1406925518,1
52.3906925518,2
52.6406925518,3
52.8906925518,4
53.1406925518,5
53.3906925518,6
53.6406925518,7
53.8906925518,8
54.1406925518,9
54.3906925518,10
54.6406925518,11
54.8906925518,12
55.1406925518,13
55.3906925518,14
55.6406925518,15
55.8906925518,16
56.1406925518,17
56.3906925518,18
56.6406925518,19
56.8906925518,20
57.1406925518,21
57.3906925518,22
57.6406925518,23
57.8906925518,24
58.1406925518,25
58.3906925518,26
58.6406925518,27
58.8906925518,28
59.1406925518,29
59.3906925518,30
